ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day
1,002d1cf6537b22b8d967a9a237c825b4dd05515e,92.93700,Yes,No,3084,Northbound,Left,7.456,100.393,Green,1
2,0037acdc5448ed61d6aba1cb7c4eb79fffc495c6,6.34100,NULL,NULL,3084,Northbound,Left,7.456,13.797,NULL,1
3,004460140f80954831ef6c30fbb108850148cbce,30.13700,No,No,3084,Westbound,Straight,9.587,39.724,Green,1
4,00530a1b4aaf78091c79e023ee0b1d688c7aed23,109.48400,Yes,No,3084,Southbound,Straight,9.587,119.071,Green,1
5,0069eb370c1009bf3327d4d339e77ca484ad4dd3,10.10300,Yes,No,3084,Eastbound,Right,9.587,19.690,Green,1
6,00725c1fb16349697915fd42a66a94bf9959ccfe,254.71500,Yes,Yes,3084,Northbound,Left,7.456,262.171,Red,1
7,00856a13c00bacc902d687dc89cf9b88299e4d54,103.56500,Yes,No,3084,Westbound,Straight,9.587,113.152,Green,1
8,008cad6645241f6dd88cae62864f1e178659894c,86.87500,NULL,NULL,3084,Westbound,Straight,9.587,96.462,NULL,1
9,008d7b1b006d86aef5758d0a66895722df19d518,93.86000,Yes,No,3084,Southbound,Straight,9.587,103.447,Red,1
10,0099803bdf4b85da8f9819b8806ec5b585bc5d06,219.32000,Yes,No,3084,Westbound,Left,9.587,228.907,Green,1
11,009c199015e46702633661e363fecd48ee5b7f43,82.78600,Yes,No,3084,Westbound,Left,9.587,92.373,Green,1
12,009f1b43540fd4dc1905f424fd11c2fe086a6fc0,103.62400,Yes,No,3084,Southbound,Straight,9.587,113.211,Red,1
13,00cfdbdd7eeba943ad8d36d617b25030c469fa9b,81.25500,Yes,No,3084,Northbound,Straight,7.456,88.711,Green,1
14,00d04db924413b9bedfee76d9aa6600ff96ba36e,20.44200,Yes,No,3084,Southbound,Straight,9.587,30.029,Green,1
15,010aa978ff8d6c66b3607bfebcb905bb33907637,116.75500,Yes,No,3084,Northbound,Left,7.456,124.211,Green,1
16,0127b5ac275ab2fbaa644f59736a7289e7edecc1,118.13600,No,No,3084,Northbound,Left,7.456,125.592,Red,1
17,013dc6b884efc11d3f8d14b61bf74d2597c2e2fb,52.55800,Yes,No,3084,Northbound,Right,7.456,60.014,Green,1
18,015b282ce065a12cba7502e0d5449faad7a174ed,91.75800,Yes,No,3084,Northbound,Straight,7.456,99.214,Red,1
19,01725faaf7810e9d2899492a90dc59ee570f978c,0.00000,No,No,3084,Westbound,Straight,9.587,9.581,Green,1
20,01a94270a799eff89fd1b2c552b2107c1063e2b5,143.55400,Yes,No,3084,Eastbound,Straight,9.587,153.141,Red,1
21,01fec5dd57e2b502f478126b6f03f5839eff13e2,110.08200,Yes,No,3084,Southbound,Straight,9.587,119.669,Green,1
22,021a17dce4940d9ef5805b83fae4778177b2be18,65.77200,NULL,NULL,3084,Northbound,Right,7.456,73.228,NULL,1
23,0243d0d0f583cbe5714d8a64f81f0e520659883d,28.44300,NULL,NULL,3084,Northbound,Left,7.456,35.899,NULL,1
24,027bd4f1c23ccac6402242047cc1a28aaec3727e,39.49000,Yes,No,3084,Northbound,Right,7.456,46.946,Red,1
25,02d24948a8b3286d905cea2245e6b76ac141a99b,0.85600,No,No,3084,Westbound,Straight,9.587,10.443,Green,1
26,03071f721edf8f37c2f6cb29334c264141b39b64,251.09900,No,No,3084,Westbound,Left,9.587,260.686,Green,1
27,031b777f561f391b510f836d3c29089204e50a5c,122.85600,Yes,No,3084,Westbound,Left,9.587,132.443,Red,1
28,0327b10af907f46eb02467f88f433611cdb4fc40,168.58500,Yes,No,3084,Eastbound,Left,9.587,178.172,NULL,1
29,033a78d2340b4632c5792f8d0031ea56f5ca61d6,87.25200,Yes,No,3084,Northbound,Straight,7.456,94.708,Green,1
30,0372b6e9f82b28eb4c775040a0d2ae120da6adb2,108.24100,Yes,No,3084,Southbound,Straight,9.587,117.828,Red,1
